county_name,total_county_population,median_household_income,aggregate_household_income,per_capita_income,median_family_income,poverty_status_total_population,income_below_poverty_level,poverty_white_alone_total,poverty_white_alone_below_poverty,poverty_black_alone_total,poverty_black_alone_below_poverty,poverty_hispanic_total,poverty_hispanic_below_poverty,poverty_ratio_total,poverty_ratio_under_50_pct,poverty_ratio_50_99_pct,poverty_children_under_18_total,poverty_children_under_18_below_poverty,snap_total_households,snap_received_past_12mo,public_assistance_total_households,public_assistance_received,ssi_total_households,ssi_received,health_insurance_total,health_insurance_no_coverage,medicaid_means_tested_total,medicaid_means_tested_coverage,education_total_25_plus,education_high_school_diploma,education_bachelors_degree,education_masters_degree,employment_pop_16_plus,employment_civilian_labor_force,employment_employed,employment_unemployed,disability_total_pop,disability_male_under_5_with_disability,disability_male_5_17_with_disability,disability_male_18_34_with_disability,disability_male_35_64_with_disability,disability_male_65_74_with_disability,disability_male_75_plus_with_disability,disability_female_under_5_with_disability,disability_female_5_17_with_disability,disability_female_18_34_with_disability,disability_female_35_64_with_disability,disability_female_65_74_with_disability,disability_female_75_plus_with_disability,rent_burden_total_renters,rent_burden_50_plus_pct,median_gross_rent,families_with_children_total,families_female_householder_with_children,total_population,white_alone,black_alone,asian_alone,total_population_ethnicity,hispanic_or_latino,total_households,average_household_size,total_households_composition,family_households,married_couple_family,householder_living_alone,total_population_gender,male_population,female_population,median_age,median_home_value,language_total_5_plus,language_speak_only_english,english_proficiency_total_5_plus,english_speak_not_well,nativity_total,foreign_born,vehicles_total_households,vehicles_none,mean_travel_time_to_work,veteran_total_18_plus,veteran_population,state_fips,county_fips,white_pct,black_pct,asian_pct,hispanic_pct,male_pct,female_pct,family_household_pct,snap_participation_rate,public_assistance_rate,ssi_rate,poverty_rate,uninsured_rate,medicaid_rate,child_poverty_rate,white_poverty_rate,black_poverty_rate,hispanic_poverty_rate,deep_poverty_rate,near_poverty_rate,hs_graduate_rate,bachelors_plus_rate,labor_force_participation_rate,unemployment_rate,employment_rate,disability_rate,rent_burden_severe_50_plus,single_parent_rate,veteran_rate,english_only_rate,limited_english_rate,foreign_born_rate,no_vehicle_rate,data_pulled_date,acs_year
"Houston County, Alabama",107040,55064,3257597300,32126,72526,105841,18878,70471,8097,28801,9259,3829,1024,105841,8270,10608,23954,6221,41543,6136,41543,534,41543,2758,105970,82,105970,7072,73993,19379,10616,4321,85251,48111,45708,2403,105970,23,879,1224,3338,1421,1495,19,410,1098,3950,1556,2340,14347,3037,858,20993,6951,107040,71260,29166,987,107040,3844,41543,2.55,41543,26980,18737,12986,107040,51565,55475,40.4,164900,,,41543,135,107040,2725,41543,741,,82325,8199,01,069,66.57,27.25,0.92,3.59,48.17,51.83,64.94,14.77,1.29,6.64,17.84,0.08,6.67,25.97,11.49,32.15,26.74,7.81,10.02,26.19,20.19,56.43,4.99,53.62,16.75,21.17,33.11,9.96,,0.32,2.55,1.78,2025-11-24 04:14:22,2022
"Jackson County, Alabama",52618,46748,1360695100,27695,59400,52008,9680,46683,8302,1659,557,1678,969,52008,3292,6388,10737,2924,20670,2901,20670,189,20670,1265,52083,46,52083,2810,37823,11399,3874,1843,43027,21717,20405,1312,52083,42,387,576,2551,1235,762,0,135,626,2625,1077,1267,4937,620,702,9430,2226,52618,47208,1731,213,52618,1685,20670,2.51,20670,13916,10347,6082,52618,25883,26735,43.0,126900,,,20670,19,52618,863,20670,368,,41763,2871,01,071,89.72,3.29,0.4,3.2,49.19,50.81,67.32,14.03,0.91,6.12,18.61,0.09,5.4,27.23,17.78,33.57,57.75,6.33,12.28,30.14,15.12,50.47,6.04,47.42,21.66,12.56,23.61,6.87,,0.09,1.64,1.78,2025-11-24 04:14:22,2022
"Jefferson County, Alabama",672265,63595,24916898800,38224,83299,654506,103894,329055,29016,280060,65803,27567,7094,654506,49989,53905,149129,33213,265794,35857,265794,4004,265794,19215,665054,743,665054,37068,457310,103400,96805,41229,537683,328926,311193,17733,665054,60,5304,5597,16867,8582,7457,205,2599,6188,22320,10307,13851,95438,23763,1086,126625,40273,672265,338374,287203,11712,672265,27950,265794,2.46,265794,162227,108651,89464,672265,319713,352552,37.9,208900,,,265794,2601,672265,26358,265794,5205,,519302,34009,01,073,50.33,42.72,1.74,4.16,47.56,52.44,61.03,13.49,1.51,7.23,15.87,0.11,5.57,22.27,8.82,23.5,25.73,7.64,8.24,22.61,30.18,61.17,5.39,57.88,14.94,24.9,31.8,6.55,,0.98,3.92,1.96,2025-11-24 04:14:22,2022
"Lamar County, Alabama",13885,49565,322594500,24794,63495,13736,2107,11809,1471,1488,613,70,0,13736,796,1311,3026,511,5168,926,5168,72,5168,543,13727,0,13727,845,9894,3227,606,335,11102,5665,5381,284,13727,0,84,136,596,317,373,0,15,204,598,199,546,1310,218,495,2717,609,13885,11913,1527,23,13885,76,5168,2.65,5168,3510,2763,1389,13885,6930,6955,44.2,108200,,,5168,0,13885,93,5168,98,,10850,665,01,075,85.8,11.0,0.17,0.55,49.91,50.09,67.92,17.92,1.39,10.51,15.34,0.0,6.16,16.89,12.46,41.2,0.0,5.79,9.54,32.62,9.51,51.03,5.01,48.47,22.35,16.64,22.41,6.13,,0.0,0.67,1.9,2025-11-24 04:14:22,2022
"Lauderdale County, Alabama",94329,56081,2929855200,32678,76544,91894,12188,77975,8587,8707,2813,2734,298,91894,5390,6798,18078,3123,38237,4166,38237,471,38237,1738,93301,107,93301,4359,64564,19075,10372,4629,77733,45106,43474,1632,93301,41,315,731,2274,1606,1600,6,162,866,2740,1692,2196,12422,2058,773,15747,3456,94329,79592,9317,576,94329,2803,38237,2.4,38237,24633,18369,11229,94329,45493,48836,40.8,174800,,,38237,276,94329,2216,38237,599,,76003,5578,01,077,84.38,9.88,0.61,2.97,48.23,51.77,64.42,10.9,1.23,4.55,13.26,0.11,4.67,17.28,11.01,32.31,10.9,5.87,7.4,29.54,23.23,58.03,3.62,55.93,15.25,16.57,21.95,7.34,,0.72,2.35,1.57,2025-11-24 04:14:22,2022
"Lawrence County, Alabama",33116,54786,935845400,29486,71188,32725,5182,25116,4126,3303,506,820,21,32725,2244,2938,7021,1575,12829,2108,12829,135,12829,964,32852,48,32852,1692,23478,8063,2364,1205,26784,14259,13836,423,32852,0,64,231,1470,716,512,0,200,476,1751,748,878,2638,286,692,5951,992,33116,25421,3371,97,33116,829,12829,2.56,12829,8804,6960,3790,33116,16299,16817,42.7,134200,,,12829,64,33116,367,12829,263,,25932,1886,01,079,76.76,10.18,0.29,2.5,49.22,50.78,68.63,16.43,1.05,7.51,15.83,0.15,5.15,22.43,16.43,15.32,2.56,6.86,8.98,34.34,15.2,53.24,2.97,51.66,21.45,10.84,16.67,7.27,,0.5,1.11,2.05,2025-11-24 04:14:22,2022
"Lee County, Alabama",175126,59288,5520781300,33083,86772,167593,31003,116304,19811,36248,9098,6566,1270,167593,18652,12351,36152,5984,65166,5975,65166,635,65166,2494,173839,329,173839,5962,107084,18919,23707,13363,143029,84605,81409,3196,173839,61,993,1727,5052,1654,1804,17,366,1803,4744,2052,2712,22649,6921,953,32701,7733,175126,120255,39363,7614,175126,6780,65166,2.57,65166,40425,30855,19408,175126,86692,88434,33.0,224400,,,65166,312,175126,10002,65166,822,,137918,10309,01,081,68.67,22.48,4.35,3.87,49.5,50.5,62.03,9.17,0.97,3.83,18.5,0.19,3.43,16.55,17.03,25.1,19.34,11.13,7.37,17.67,34.62,59.15,3.78,56.92,13.22,30.56,23.65,7.47,,0.48,5.71,1.26,2025-11-24 04:14:22,2022
"Limestone County, Alabama",104199,80146,3830764900,37504,95707,100831,11287,78330,7677,12644,2077,6367,1773,100831,5082,6205,22455,3488,38572,3066,38572,393,38572,1890,101214,128,101214,3011,73067,16524,13776,6347,84173,50168,48090,2078,101214,0,498,692,3380,1230,1293,10,165,852,3212,1332,1853,8604,1213,861,20380,2668,104199,80040,13714,1917,104199,6588,38572,2.62,38572,27092,21758,9416,104199,52385,51814,40.2,229400,,,38572,378,104199,3964,38572,473,1153970.0,81144,7400,01,083,76.81,13.16,1.84,6.32,50.27,49.73,70.24,7.95,1.02,4.9,11.19,0.13,2.97,15.53,9.8,16.43,27.85,5.04,6.15,22.61,27.54,59.6,4.14,57.13,14.34,14.1,13.09,9.12,,0.98,3.8,1.23,2025-11-24 04:14:22,2022
"Lowndes County, Alabama",10153,33125,222246400,23415,50126,9997,2552,2426,189,7525,2355,8,0,9997,1099,1453,2223,886,4001,1090,4001,86,4001,635,9999,19,9999,681,7035,2670,739,316,8181,4029,3727,302,9999,0,90,119,510,205,152,0,67,82,491,199,324,901,153,760,1677,823,10153,2493,7603,0,10153,19,4001,2.5,4001,2369,1263,1533,10153,4842,5311,41.7,83400,,,4001,0,10153,81,4001,302,,7909,457,01,085,24.55,74.88,0.0,0.19,47.69,52.31,59.21,27.24,2.15,15.87,25.53,0.19,6.81,39.86,7.79,31.3,0.0,10.99,14.53,37.95,15.0,49.25,7.5,45.56,22.39,16.98,49.08,5.78,,0.0,0.8,7.55,2025-11-24 04:14:22,2022
"Macon County, Alabama",19198,41206,408880000,22449,52617,16499,4127,2396,213,13332,3616,355,212,16499,1934,2193,3031,985,7131,1665,7131,87,7131,755,18946,13,18946,1121,11880,3049,1275,786,16423,8082,7072,1010,18946,0,83,510,548,352,249,0,14,99,725,377,529,2642,565,688,2453,1308,19198,3133,15142,78,19198,453,7131,2.33,7131,4210,2165,2538,19198,8865,10333,37.8,93900,,,7131,6,19198,227,7131,217,,15930,1275,01,087,16.32,78.87,0.41,2.36,46.18,53.82,59.04,23.35,1.22,10.59,25.01,0.07,5.92,32.5,8.89,27.12,59.72,11.72,13.29,25.66,17.35,49.21,12.5,43.06,18.4,21.39,53.32,8.0,,0.08,1.18,3.04,2025-11-24 04:14:22,2022
"Madison County, Alabama",389781,78058,17098498100,44720,101032,378398,40440,249524,18482,90302,17086,20219,4038,378398,18101,22339,82807,11352,159569,13866,159569,4489,159569,6112,384462,418,384462,14222,267305,41153,71617,38510,315604,201437,192922,8515,384462,22,2722,3244,9465,4487,4429,26,1287,4078,10897,5089,6231,51024,10264,1043,75202,16613,389781,254819,95400,9675,389781,20611,159569,2.37,159569,101594,76149,48770,389781,191913,197868,38.5,242900,,,159569,1331,389781,21459,159569,1859,3697845.0,305059,34224,01,089,65.37,24.48,2.48,5.29,49.24,50.76,63.67,8.69,2.81,3.83,10.69,0.11,3.7,13.71,7.41,18.92,19.97,4.78,5.9,15.4,41.2,63.83,4.23,61.13,13.52,20.12,22.09,11.22,,0.83,5.51,1.17,2025-11-24 04:14:22,2022
"Marengo County, Alabama",19180,42975,483209000,27210,67083,18939,4063,8574,703,9651,3114,542,213,18939,1719,2344,4339,1382,7379,1480,7379,34,7379,823,18950,0,18950,1304,12997,4022,1654,1082,15434,7807,7587,220,18950,0,94,387,1081,384,382,0,41,216,745,512,442,2341,372,702,3587,1540,19180,8705,9750,151,19180,542,7379,2.56,7379,4175,2578,3065,19180,9100,10080,41.7,98600,,,7379,76,19180,277,7379,206,,14830,1241,01,091,45.39,50.83,0.79,2.83,47.45,52.55,56.58,20.06,0.46,11.15,21.45,0.0,6.88,31.85,8.2,32.27,39.3,9.08,12.38,30.95,21.05,50.58,2.82,49.16,22.61,15.89,42.93,8.37,,1.03,1.44,2.79,2025-11-24 04:14:22,2022
"Marion County, Alabama",29203,49743,687405300,25205,63260,28621,4707,26279,4301,929,170,786,112,28621,1508,3199,6086,1221,11018,1679,11018,218,11018,1096,28627,7,28627,1901,20785,6015,1476,789,23947,12363,11563,800,28627,0,203,415,2024,563,457,0,118,411,1154,974,1051,2987,212,581,5382,1066,29203,26673,1113,85,29203,790,11018,2.59,11018,7254,5809,3429,29203,14510,14693,44.0,104300,,,11018,13,29203,305,11018,144,,23031,1593,01,093,91.34,3.81,0.29,2.71,49.69,50.31,65.84,15.24,1.98,9.95,16.45,0.02,6.64,20.06,16.37,18.3,14.25,5.27,11.18,28.94,10.9,51.63,6.47,48.29,25.74,7.1,19.81,6.92,,0.12,1.04,1.31,2025-11-24 04:14:22,2022
"Marshall County, Alabama",97923,58272,2784570100,29509,71511,96335,15992,82728,12407,2514,664,14643,4362,96335,7324,8668,24096,5987,35930,4002,35930,427,35930,1989,96810,146,96810,6284,64995,16482,9437,3371,75849,43030,41389,1641,96810,0,514,701,2897,1545,1131,6,202,509,2851,1360,1926,8847,1394,746,21454,4927,97923,83991,2746,600,97923,14751,35930,2.69,35930,25208,18830,9308,97923,48686,49237,38.8,165600,,,35930,1023,97923,6999,35930,994,975245.0,73094,5566,01,095,85.77,2.8,0.61,15.06,49.72,50.28,70.16,11.14,1.19,5.54,16.6,0.15,6.49,24.85,15.0,26.41,29.79,7.6,9.0,25.36,19.71,56.73,3.81,54.57,14.09,15.76,22.97,7.61,,2.85,7.15,2.77,2025-11-24 04:14:22,2022
"Mobile County, Alabama",413878,55352,12055342000,30482,70688,406199,71353,230623,25996,147039,39971,12338,2253,406199,33616,37737,94557,23679,159605,27231,159605,1680,159605,10892,409201,266,409201,25678,279868,81360,43806,17851,328379,187332,176289,11043,409201,150,1856,2997,10689,6063,5228,37,1329,2947,12253,5536,7451,58271,14530,973,80518,26296,413878,234657,150071,8383,413878,12565,159605,2.54,159605,101130,68525,51545,413878,198642,215236,38.2,164600,,,159605,703,413878,13193,159605,2503,,316647,26290,01,097,56.7,36.26,2.03,3.04,48.0,52.0,63.36,17.06,1.05,6.82,17.57,0.07,6.28,25.04,11.27,27.18,18.26,8.28,9.29,29.07,22.03,57.05,5.89,53.68,13.82,24.94,32.66,8.3,,0.44,3.19,1.57,2025-11-24 04:14:22,2022
"Monroe County, Alabama",19816,39965,419541600,23090,59610,19562,4472,10513,1597,8262,2620,44,21,19562,2082,2390,4168,1218,7298,915,7298,95,7298,541,19504,0,19504,1188,13707,5465,1072,647,16255,7082,6220,862,19504,0,155,217,732,446,212,0,45,72,619,272,437,2013,171,692,3318,1056,19816,10645,8384,47,19816,44,7298,2.68,7298,4386,3192,2701,19816,9758,10058,43.7,109300,,,7298,0,19816,88,7298,167,144110.0,15550,925,01,099,53.72,42.31,0.24,0.22,49.24,50.76,60.1,12.54,1.3,7.41,22.86,0.0,6.09,29.22,15.19,31.71,47.73,10.64,12.22,39.87,12.54,43.57,12.17,38.27,16.44,8.49,31.83,5.95,,0.0,0.44,2.29,2025-11-24 04:14:22,2022
"Montgomery County, Alabama",228132,56707,7174290200,32769,71258,219231,42877,71780,6213,129327,32871,8226,2793,219231,19541,23336,52111,15255,89721,17551,89721,1046,89721,6100,222283,448,222283,15319,151442,31849,29456,15534,180677,105546,98419,7127,222283,0,1224,2479,7088,3067,2857,44,929,2238,8101,3915,4616,38372,10439,1028,45069,19033,228132,74723,134763,7604,228132,8597,89721,2.45,89721,54071,31462,31156,228132,107680,120452,36.9,151300,,,89721,576,228132,11045,89721,1568,1907065.0,172111,15306,01,101,32.75,59.07,3.33,3.77,47.2,52.8,60.27,19.56,1.17,6.8,19.56,0.2,6.89,29.27,8.66,25.42,33.95,8.91,10.64,21.03,29.71,58.42,6.75,54.47,16.45,27.2,42.23,8.89,,0.64,4.84,1.75,2025-11-24 04:14:22,2022
"Morgan County, Alabama",123102,61588,3965121300,33223,79360,120811,16579,92446,10171,16078,3680,10742,2382,120811,7136,9443,27524,4789,48004,5921,48004,589,48004,3012,121136,199,121136,6946,84874,21195,13494,4990,98341,57499,55092,2407,121136,0,715,1486,3977,1945,1787,0,340,1344,3998,1525,3065,13082,2438,791,23901,6492,123102,94056,16631,605,123102,10845,48004,2.52,48004,31864,23915,14177,123102,60953,62149,40.6,174800,,,48004,586,123102,6326,48004,1011,1224710.0,94889,7442,01,103,76.4,13.51,0.49,8.81,49.51,50.49,66.38,12.33,1.23,6.27,13.72,0.16,5.73,17.4,11.0,22.89,22.17,5.91,7.82,24.97,21.78,58.47,4.19,56.02,16.66,18.64,27.16,7.84,,1.22,5.14,2.11,2025-11-24 04:14:22,2022
"Perry County, Alabama",8479,32332,126771200,16581,40462,7547,2478,1869,144,5639,2332,61,61,7547,708,1770,1786,1043,3075,1044,3075,321,3075,610,8308,0,8308,780,5314,2012,537,192,6880,2728,2301,427,8308,0,26,26,654,133,276,0,19,67,408,156,327,918,171,560,1287,915,8479,2411,6004,7,8479,82,3075,2.46,3075,1847,902,1191,8479,3912,4567,41.8,81700,,,3075,0,8479,52,3075,128,,6678,244,01,105,28.43,70.81,0.08,0.97,46.14,53.86,60.07,33.95,10.44,19.84,32.83,0.0,9.39,58.4,7.7,41.35,100.0,9.38,23.45,37.86,13.72,39.65,15.65,33.44,25.18,18.63,71.1,3.65,,0.0,0.61,4.16,2025-11-24 04:14:22,2022
"Pickens County, Alabama",18925,45339,469455200,26912,59738,17301,3864,9705,1219,7192,2501,291,26,17301,1076,2788,3590,1295,7083,1154,7083,70,7083,584,17334,4,17334,1345,13592,4716,1229,543,15746,7333,6945,388,17334,0,159,268,932,427,367,0,54,124,870,377,591,1830,321,578,2891,1297,18925,10880,7506,10,18925,987,7083,2.43,7083,4468,3087,2301,18925,9149,9776,42.9,119800,,,7083,0,18925,781,7083,215,229170.0,15242,1079,01,107,57.49,39.66,0.05,5.22,48.34,51.66,63.08,16.29,0.99,8.25,22.33,0.02,7.76,36.07,12.56,34.77,8.93,6.22,16.11,34.7,13.04,46.57,5.29,44.11,24.05,17.54,44.86,7.08,,0.0,4.13,3.04,2025-11-24 04:14:22,2022
"Pike County, Alabama",32997,42616,813919600,26685,68530,30639,7242,17471,2847,11284,3613,737,241,30639,3898,3344,6121,1883,11996,1900,11996,110,11996,857,32754,31,32754,1897,19205,5795,3024,1692,27502,14500,13783,717,32754,0,234,431,708,641,446,0,156,219,1037,418,642,4435,1323,750,5286,2102,32997,18678,12302,664,32997,799,11996,2.55,11996,6552,4464,4339,32997,15843,17154,31.1,144500,,,11996,7,32997,1313,11996,219,260895.0,26752,1960,01,109,56.61,37.28,2.01,2.42,48.01,51.99,54.62,15.84,0.92,7.14,23.64,0.09,5.79,30.76,16.3,32.02,32.7,12.72,10.91,30.17,24.56,52.72,4.94,50.12,15.06,29.83,39.77,7.33,,0.06,3.98,1.83,2025-11-24 04:14:22,2022
"Randolph County, Alabama",22179,49879,591316500,27558,62321,21539,4277,16685,3080,4018,901,642,235,21539,2038,2239,4568,1132,8729,1389,8729,402,8729,782,21922,20,21922,1362,15614,4282,1892,859,17952,8902,8613,289,21922,2,97,170,663,401,448,0,105,255,865,452,717,1812,467,704,3971,1083,22179,17068,4203,62,22179,669,8729,2.47,8729,6045,4395,2511,22179,10787,11392,44.1,155000,,,8729,86,22179,336,8729,158,,17549,1031,01,111,76.96,18.95,0.28,3.02,48.64,51.36,69.25,15.91,4.61,8.96,19.86,0.09,6.21,24.78,18.46,22.42,36.6,9.46,10.4,27.42,17.62,49.59,3.25,47.98,19.04,25.77,27.27,5.87,,0.99,1.51,1.81,2025-11-24 04:14:22,2022
"Russell County, Alabama",58849,47420,1464980400,25855,60960,58181,12816,27227,3884,26241,7464,3430,1272,58181,5768,7048,13963,4384,23462,4682,23462,489,23462,2002,56945,0,56945,3556,39868,9163,4088,1807,46044,24169,22595,1574,56945,66,316,454,3277,1136,776,12,327,589,2909,768,1347,9111,2224,908,12416,4674,58849,27622,26410,459,58849,3451,23462,2.48,23462,14694,9827,7694,58849,28125,30724,37.2,141900,,,23462,214,58849,1728,23462,848,575400.0,43260,5728,01,113,46.94,44.88,0.78,5.86,47.79,52.21,62.63,19.96,2.08,8.53,22.03,0.0,6.24,31.4,14.27,28.44,37.08,9.91,12.11,22.98,14.79,52.49,6.51,49.07,21.03,24.41,37.64,13.24,,0.91,2.94,3.61,2025-11-24 04:14:22,2022
"St. Clair County, Alabama",91719,73218,2986657700,33571,83565,89634,9786,77176,7667,7978,1268,2278,782,89634,4108,5678,20191,2811,33838,3281,33838,504,33838,1714,89637,42,89637,4557,64523,18780,8608,3220,73891,43687,41814,1873,89637,0,410,938,2618,1267,1253,0,707,808,3110,1511,2018,6180,815,1044,17335,2851,91719,78169,8985,373,91719,2325,33838,2.65,33838,24843,19436,7911,91719,45680,46039,41.0,202000,,,33838,230,91719,1335,33838,466,,71113,5237,01,115,85.23,9.8,0.41,2.53,49.8,50.2,73.42,9.7,1.49,5.07,10.92,0.05,5.08,13.92,9.93,15.89,34.33,4.58,6.33,29.11,18.33,59.12,4.29,56.59,16.33,13.19,16.45,7.36,,0.68,1.46,1.38,2025-11-24 04:14:22,2022
"Shelby County, Alabama",223916,90618,9891097600,45701,112123,220029,15080,172284,10310,28061,2267,12925,2013,220029,7853,7227,50470,3665,83776,3929,83776,631,83776,2546,221793,177,221793,6614,153645,26868,45813,17640,179299,117204,113542,3662,221793,0,1495,1547,4253,2496,2759,37,1161,2223,4699,2468,3477,15966,3452,1272,46549,6569,223916,174752,29118,4491,223916,13195,83776,2.63,83776,59991,49691,20538,223916,109226,114690,40.0,276500,,,83776,618,223916,11171,83776,1086,,172545,12047,01,117,78.04,13.0,2.01,5.89,48.78,51.22,71.61,4.69,0.75,3.04,6.85,0.08,2.98,7.26,5.98,8.08,15.57,3.57,3.28,17.49,41.3,65.37,3.12,63.33,12.0,21.62,14.11,6.98,,0.74,4.99,1.3,2025-11-24 04:14:22,2022
"Sumter County, Alabama",12196,31726,235689000,19720,46198,10815,3285,2488,378,8138,2841,41,13,10815,1428,1857,2236,1159,4798,1201,4798,84,4798,715,12050,19,12050,926,7354,2219,901,544,10124,4681,4299,382,12050,0,27,243,481,217,131,0,59,220,556,179,328,1474,282,770,1905,1050,12196,3109,8813,57,12196,85,4798,2.26,4798,3010,1636,1546,12196,5586,6610,35.8,88000,,,4798,3,12196,144,4798,219,,9889,347,01,119,25.49,72.26,0.47,0.7,45.8,54.2,62.73,25.03,1.75,14.9,30.37,0.16,7.68,51.83,15.19,34.91,31.71,13.2,17.17,30.17,19.65,46.24,8.16,42.46,20.26,19.13,55.12,3.51,,0.06,1.18,4.56,2025-11-24 04:14:22,2022
"Talladega County, Alabama",81105,52457,2293335600,29236,66224,77226,14436,49452,7502,23951,5899,1756,694,77226,7360,7076,16129,4399,32359,5020,32359,296,32359,2522,77958,138,77958,5060,57406,16238,5623,2966,66263,35027,32093,2934,77958,23,912,847,3403,1575,1256,0,411,903,3950,1710,1735,9084,2009,750,13578,4689,81105,51186,25893,350,81105,1997,32359,2.39,32359,21944,14684,9052,81105,39386,41719,42.1,131900,,,32359,8,81105,1515,32359,1092,813135.0,64197,4708,01,121,63.11,31.93,0.43,2.46,48.56,51.44,67.81,15.51,0.91,7.79,18.69,0.18,6.49,27.27,15.17,24.63,39.52,9.53,9.16,28.29,14.96,52.86,8.38,48.43,21.45,22.12,34.53,7.33,,0.02,1.87,3.37,2025-11-24 04:14:22,2022
"Tallapoosa County, Alabama",41251,53282,1172992700,29682,63358,40523,6826,28176,2662,10584,3523,985,464,40523,3248,3578,8365,2254,16438,2961,16438,258,16438,1206,40597,0,40597,2231,29557,7475,3380,1466,33913,17414,15600,1814,40597,0,188,381,1728,1092,876,46,111,589,1556,784,1080,4029,610,701,6950,2431,41251,28516,10957,190,41251,1010,16438,2.46,16438,10754,7399,5042,41251,20025,21226,45.2,127100,,,16438,146,41251,704,16438,448,415200.0,32811,2743,01,123,69.13,26.56,0.46,2.45,48.54,51.46,65.42,18.01,1.57,7.34,16.84,0.0,5.5,26.95,9.45,33.29,47.11,8.02,8.83,25.29,16.4,51.35,10.42,46.0,20.77,15.14,34.98,8.36,,0.89,1.71,2.73,2025-11-24 04:14:22,2022
"Tuscaloosa County, Alabama",231558,61645,6994928100,32141,83129,218123,36412,135423,16827,70669,16541,8040,1778,218123,18934,17478,46119,9684,84743,9254,84743,3427,84743,4007,229518,88,229518,10897,141959,35619,25838,11822,189439,116428,109994,6434,229518,20,1175,2229,5043,2659,2076,0,861,2810,5895,2675,3154,31951,8164,974,40800,11309,231558,143889,74222,3817,231558,9261,84743,2.58,84743,53530,39247,25161,231558,111807,119751,32.8,218800,,,84743,447,231558,8171,84743,696,,184133,11597,01,125,62.14,32.05,1.65,4.0,48.28,51.72,63.17,10.92,4.04,4.73,16.69,0.04,4.75,21.0,12.43,23.41,22.11,8.68,8.01,25.09,26.53,61.46,5.53,58.06,12.46,25.55,27.72,6.3,,0.53,3.53,0.82,2025-11-24 04:14:22,2022
"Walker County, Alabama",64978,52987,1689117700,28204,68810,63595,10437,56501,8347,3607,1038,1840,645,63595,4986,5451,13733,2980,24718,3584,24718,421,24718,1951,64152,257,64152,3422,45281,12788,4268,1932,52243,27314,25764,1550,64152,28,608,597,3041,1647,1368,45,528,940,3199,1567,2024,5566,882,698,11165,2617,64978,57555,3890,123,64978,1868,24718,2.59,24718,16669,12209,7199,64978,32122,32856,41.8,124100,,,24718,68,64978,730,24718,499,733325.0,50520,3194,01,127,88.58,5.99,0.19,2.87,49.44,50.56,67.44,14.5,1.7,7.89,16.41,0.4,5.33,21.7,14.77,28.78,35.05,7.84,8.57,28.24,13.69,52.28,5.67,49.32,24.3,15.85,23.44,6.32,,0.28,1.12,2.02,2025-11-24 04:14:22,2022
"Washington County, Alabama",15434,51184,423037400,29210,75492,15282,2415,10176,1230,3583,950,260,74,15282,1397,1018,3164,709,5506,679,5506,95,5506,459,15291,7,15291,931,10500,4200,707,591,12747,5977,5598,379,15291,0,70,71,506,258,350,0,24,0,551,271,284,638,105,698,2704,605,15434,10298,3608,62,15434,261,5506,2.78,5506,4050,3125,1318,15434,7664,7770,43.7,138100,,,5506,0,15434,114,5506,205,,12238,733,01,129,66.72,23.38,0.4,1.69,49.66,50.34,73.56,12.33,1.73,8.34,15.8,0.05,6.09,22.41,12.09,26.51,28.46,9.14,6.66,40.0,12.36,46.89,6.34,43.92,15.6,16.46,22.37,5.99,,0.0,0.74,3.72,2025-11-24 04:14:22,2022
"Wilcox County, Alabama",10441,38208,180817800,20442,46269,10219,2735,2767,106,7215,2623,16,7,10219,752,1983,2366,1096,3579,1268,3579,44,3579,616,10241,2,10241,996,7069,2672,554,232,8367,3746,3345,401,10241,0,53,124,384,233,219,0,25,76,541,290,230,735,177,787,1744,1036,10441,2876,7328,4,10441,22,3579,2.86,3579,2288,1218,1183,10441,4892,5549,41.1,83200,,,3579,0,10441,54,3579,298,,8044,484,01,131,27.55,70.18,0.04,0.21,46.85,53.15,63.93,35.43,1.23,17.21,26.76,0.02,9.73,46.32,3.83,36.35,43.75,7.36,19.41,37.8,11.12,44.77,10.7,39.98,21.24,24.08,59.4,6.02,,0.0,0.52,8.33,2025-11-24 04:14:22,2022
"Winston County, Alabama",23655,49494,602631900,26933,61537,23175,4217,21620,3856,217,23,765,96,23175,1692,2525,4627,1110,9103,1214,9103,200,9103,674,23299,67,23299,1489,16998,5695,1384,778,19441,10225,9773,452,23299,0,392,219,1031,579,489,19,107,308,1050,386,653,1981,171,680,4189,754,23655,22050,263,105,23655,768,9103,2.55,9103,6502,5148,2271,23655,11764,11891,45.4,111600,,,9103,53,23655,448,9103,217,,18853,1267,01,133,93.21,1.11,0.44,3.25,49.73,50.27,71.43,13.34,2.2,7.4,18.2,0.29,6.39,23.99,17.84,10.6,12.55,7.3,10.9,33.5,12.72,52.6,4.42,50.27,22.46,8.63,18.0,6.72,,0.58,1.89,2.38,2025-11-24 04:14:22,2022
